0,,,,,,,0,0
66,36363,francis,fransua,72572852,Mombasa,10am,1,9
23,9289752,jorja,smith,72682523,Eldoret,5pm,30,8
33,2325,smith,youf,72578925,Kisumu,2pm,20,10
56,466,eddy,claudio,52663622,Mombasa,10am,30,9
45,42335/ml,Syd,Hold,38997387,Eldoret,5pm,5,9
45,2462,fkj,ooo,264558523,Mombasa,10am,5,9
45,366,trevor,belmont,34767858,Eldoret,5pm,3,9
34,24636,rodwell,seem,093673636,Eldoret,5pm,20,10
37,6363,desmond,low,097839654,Kisumu,2pm,22,10
28,89693,harry,styles,36097363,Mombasa,10am,1,9
40,352626,yosna,flower,09878925,Kisumu,2pm,5,10
40,093876,frida,achieng,33978936,Eldoret,5pm,23,9
34,542626,joseph,onyango,662080980,Mombasa,2pm,30,9
56,3455,garry,steels,07652985,Kisumu,2pm,23,10
45,4525,two,face,929725,Kisumu,2pm,29,10
